sku,name,desc,price,in_stock,type,short,long,category
RAI0007,Silver Rain Design mStand Support,Aluminum support compatible with all MacBook,59.99,1,8696,RAI,Rain Design,tech accessories
RAI0014,Rain Design iSlider iPad Support,Anodized aluminum support multiposition iPad and iPad mini.,49.99,0,1216,RAI,Rain Design,tech accessories
RAI0015,Rain Design MTower support MacBook Air / Pro,Aluminum support for MacBook Pro and MacBook Air,59.99,1,8696,RAI,Rain Design,tech accessories
RAI0016,Rain Design iLevel2 MacBook Support,Adjustable aluminum bracket height compatible with all MacBook,84.99,1,8696,RAI,Rain Design,tech accessories
RAI0018,"Rain Design Mbase Support for iMac 27 """,Minimalist support lifting drawer iMac 27,84.99,1,8696,RAI,Rain Design,tech accessories
RAI0017,"Rain Design Mbase 215 iMac Support """,Minimalist lifting support drawer 215 inch iMac,72.99,1,8696,RAI,Rain Design,tech accessories
RAI0013,Silver Rain Design mStand360 Support,Swivel stand compatible with all MacBook aluminum,72.99,0,8696,RAI,Rain Design,tech accessories
RAI0019,Rain Design mStand Support Gold,Aluminum support compatible with all MacBook,59.99,1,8696,RAI,Rain Design,tech accessories
RAI0020,Rain Design Gray Space mStand Support,Aluminum support compatible with all MacBook,59.99,0,8696,RAI,Rain Design,tech accessories
RAI0001-A,(Open) Silver Rain Design mStand Support,Aluminum support compatible with all MacBook,59.99,0,1298,RAI,Rain Design,others
APP0023,Apple Mac Keyboard Keypad Spanish,USB ultrathin keyboard Apple Mac Spanish.,59.0,0,13855401,APP,Apple,computer parts
APP0025,Mighty Mouse Apple Mouse for Mac,mouse Apple USB cable.,59.0,0,1387,APP,Apple,others
APP0072,Apple Dock to USB Cable iPhone and iPod white,IPhone dock and USB Cable Apple iPod.,25.0,0,1230,APP,Apple,adapters & cables
APP0073,Apple Composite AV Cable iPhone and iPod white,IPhone and iPod AV Cable Dock to Composite Video.,45.0,0,1230,APP,Apple,adapters & cables
APP0100,Apple Adapter Mini Display Port to VGA,Adapter Mini Display Port to VGA MacBook and MacBook Pro (unibody).,35.0,0,1325,APP,Apple,adapters & cables
APP0101,Apple Mini DisplayPort to DVI Adapter,Adapter mini DisplayPort to DVI MacBook and MacBook Pro (unibody).,35.0,0,1325,APP,Apple,adapters & cables
APP0111,Apple USB Ethernet Adapter Mac,USB to Ethernet adapter Mac.,35.0,0,1334,APP,Apple,network devices
APP0156,45W MagSafe charger Apple MacBook Air,Charger MacBook Air MagSafe 45 W (MC747Z / A).,89.0,0,13005399,APP,Apple,computer parts
APP0206,"60W MagSafe charger Apple MacBook and MacBook Pro 13 """,Charger MacBook and 13 inch MacBook MagSafe 60 W (MC461Z / A).,89.0,1,13005399,APP,Apple,computer parts
APP0234,Apple Dock Connector to VGA,Dock Connector to VGA IOS.,35.0,0,13955395,APP,Apple,others
APP0247,"85W MagSafe charger Apple MacBook Pro 15 ""/ 17""",Charger MacBook Pro MagSafe 85 W (MC556Z / A).,89.0,1,13005399,APP,Apple,computer parts
APP0233,Apple iPad Camera Connection connector,IPad connector for digital cameras and SD cards.,35.0,0,13955395,APP,Apple,adapters & cables
APP0277,Apple Wireless Keyboard Keyboard (OEM) Mac,Ultrathin keyboard Apple Bluetooth Spanish (unboxed).,79.0,0,13855401,APP,Apple,computer parts
APP0280,Apple HDMI to HDMI Cable 1.8m,HMDI to HDMI Cable 1.8m.,25.0,0,1325,APP,Apple,adapters & cables
APP0308,AV Cable Adapter Apple iPhone iPad and iPod white,IPhone iPad iPod adapter and AV cable.,45.0,0,1230,APP,Apple,adapters & cables
APP0343,Apple Thunderbolt Cable 2m White,Cable Mac Apple Thunderbolt 2m.,45.0,1,1325,APP,Apple,adapters & cables
APP0367,Apple Mini DisplayPort to DVI Adapter Mac dual channel,Adapter Mini Display Port to DVI dual channel MacBook MacBook Pro and MacBook Air.,119.0,0,1325,APP,Apple,adapters & cables
